Date,Interviewee,Profession,Medium,Notes
8/21/2021,,Aquaculture Specialist,Video Conference,
8/21/2021,,Dept. of Electrical and Computer Eng.,In-Person,Showed us a transponder created by her students to better understand the way our device can work. 
8/21/2021,,Aquaculture CTE Program,Phone,Divers take underwater images on BOP reefs.
8/21/2021,,"Senior Engineer, Acoustic Communications Group",Phone,Micromodem is used. 
8/21/2021,,Assistant Dive Safety Officer ,Phone,"Oysters and Coral reefs in the Harbor help each other grow and prevent against destruction from Hurricanes. They send out Divers to take pictures of the ecosystems health and use a rope to pull Divers back to shore, however it can get tangled with sea weed and our technology can help track them wirelessly and enable Divers to communicate back while underwater. "
8/15/2021,,Worker,In Person,Green (right) and red (left) buoys are used to follow the daily lane or route. 'AIS' radar system.
8/15/2021,,Ferry Terminal Supervisor ,In Person,Ferries use radio system known as Faruno. 
8/15/2021,,Worker,In Person,Mentioned how diving instructors can use a device that can be worn maybe like a watch onto diving students to locate them. 
8/15/2021,,Worker,In Person,"They need an affordable, reliable and if possible, detection system into vinyl sticker."
8/15/2021,,Worker,In Person,"Vessels like the City Ferry use VHF radio system, however they don't have it for kayaks. "
8/15/2021,,Manager,In Person,"Oxygen tank is used for deeper places and need more air. They can detect divers from air bubbles, and deploy a scuba safety tube float to be detected by ship to pick them up. "
8/13/2021,,PRINCIPAL ENGINEER. APPLIED OCEAN PHYSICS & ENGINE,Video Conference,"Advised improving energy efficiency, also ask divers "
8/12/2021,,Product Manager ,Phone,Air bubbles in leak detectors 
8/12/2021,,Executive Director ,In-Person,Detection against poachers 
8/12/2021,,Founder,Phone,Needs device to monitor quality of water 
8/12/2021,,Technician,Video Conference,ocean wave energy harvesting 
8/11/2021,,Associate Director ,Video Conference,Discuss acoustic technology in commercialization.
8/6/2021,,UW locatizaltion,In-Person,TBD
8/6/2021,,Diving Officer ,Video Conference,Monday Aug 9th at 2pm
8/5/2021,,"Director, Navigation and Civil Works Decision",Video Conference,"attribute to improvement in Navigation, Dredging, Waterborne vessels and Wreck Salvage."
8/3/2021,,Pacific Northwest Laboratory,Video Conference,TBD
